stock_id,name
2330,台積電
2454,聯發科
2317,鴻海
2382,廣達
3231,緯創
6669,緯穎
2356,英業達
4938,和碩
2301,光寶科
3017,奇鋐
2345,智邦
2395,研華
3533,嘉澤
6414,樺漢
2327,國巨
2379,瑞昱
3034,聯詠
3443,創意
5269,祥碩
6415,矽力-KY
3035,智原
8299,群聯
6531,愛普
2408,南亞科
2449,京元電
3264,欣銓
2363,矽統
2451,創見
3014,聯陽
3041,揚智
3545,敦泰
4919,新唐
4952,凌通
4966,譜瑞-KY
4968,立積
5222,全訊
5263,智崴
5274,信驊
6104,創惟
6138,茂達
6285,啟碁
6416,瑞祺電
6451,訊芯-KY
6533,晶心科
6719,力智
6213,聯茂
3037,欣興
8046,南電
3189,景碩
2313,華通
2368,金像電
2383,台光電
5469,瀚宇博
6239,力成
8150,南茂
2441,超豐
3036,文曄
3702,大聯大
2351,順德
6269,台郡
2376,技嘉
3013,晟銘電
3324,雙鴻
3653,健策
3661,世芯-KY
4915,致伸
5439,高技
6182,合晶
6488,環球晶
8028,昇陽半導體
3033,威健
3413,京鼎
3583,辛耘
3680,家登
6196,帆宣
6438,迅得
6538,倉和
6668,中揚光
6789,采鈺
2881,富邦金
2882,國泰金
2891,中信金
2886,兆豐金
2880,華南金
2887,台新金
2884,玉山金
2885,元大金
1301,台塑
1303,南亞
1326,台化
1402,遠東新
1101,台泥
1102,亞泥
1216,統一
2207,和泰車
2912,統一超
2603,長榮
2609,陽明
2615,萬海
